,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
21,"PC Gamer 
						
							HP
						
						OMEN 17-cb1099nf",https://www.boulanger.com/ref/1151885,2949,i7,7,Intel,0,Boulanger (FR)
22,"PC Gamer 
						
							MSI
						
						Stealth 15M A11UEK-049FR",https://www.boulanger.com/ref/1157100,2240,i7,7,Intel,0,Boulanger (FR)
23,"PC Gamer 
						
							HP
						
						OMEN 15-ek0071nf",https://www.boulanger.com/ref/1151888,2123,i7,7,Intel,0,Boulanger (FR)
24,"Ordinateur portable 
						
							MSI
						
						Stealth 15M A11SDK-083FR",https://www.boulanger.com/ref/1152141,2241,i7,7,Intel,0,Boulanger (FR)
25,"Ordinateur portable 
						
							Asus
						
						ZEPHYRUS-G14-GA401IV-356T +Etui+Souris",https://www.boulanger.com/ref/1151557,2713,Ryzen 9,9,AMD,14,Boulanger (FR)
26,"PC Gamer 
						
							HP
						
						OMEN 15-ek0069nf",https://www.boulanger.com/ref/1147718,2359,i7,7,Intel,0,Boulanger (FR)
27,"PC Gamer 
						
							Lenovo
						
						Legion5 17IMH05H-517",https://www.boulanger.com/ref/1147841,2359,i7,7,Intel,0,Boulanger (FR)
28,"Ordinateur portable 
						
							MSI
						
						Prestige 15 A11SCS-215FR",https://www.boulanger.com/ref/1152138,2359,i7,7,Intel,4,Boulanger (FR)
29,"PC Gamer 
						
							HP
						
						OMEN 15-ek0131nf",https://www.boulanger.com/ref/1152846,2359,i7,7,Intel,0,Boulanger (FR)
30,"PC Gamer 
						
							Asus
						
						ZEPHYRUS-S17-GX735LWS-74T Numpad",https://www.boulanger.com/ref/1146838,2654,i7,7,Intel,39,Boulanger (FR)
31,"PC Gamer 
						
							HP
						
						OMEN 17-cb1072nf",https://www.boulanger.com/ref/1143708,2417,i7,7,Intel,24,Boulanger (FR)
32,"PC Gamer 
						
							HP
						
						OMEN 17-cb1015nf",https://www.boulanger.com/ref/1143709,2674,i7,7,Intel,24,Boulanger (FR)
33,"PC Gamer 
						
							Lenovo
						
						Legion C7 15IMH05-982 + premium Care",https://www.boulanger.com/ref/1147833,2596,i7,7,Intel,26,Boulanger (FR)
34,"PC Gamer 
						
							Asus
						
						DASH-TUF516PR-AZ019T",https://www.boulanger.com/ref/1156744,2713,i7,7,Intel,0,Boulanger (FR)
35,"PC Gamer 
						
							Asus
						
						DASH-TUF516PR-AZ024T",https://www.boulanger.com/ref/1156745,2713,i7,7,Intel,0,Boulanger (FR)
36,"PC Gamer 
						
							Acer
						
						Predator Triton 500 PT515-52-71ZU",https://www.boulanger.com/ref/1151966,2831,i7,7,Intel,20,Boulanger (FR)
37,"PC Gamer 
						
							MSI
						
						GE66 Raider 10UE-282FR",https://www.boulanger.com/ref/1157095,2831,i7,7,Intel,0,Boulanger (FR)
39,"Ordinateur portable 
						
							Asus
						
						ZEPHYRUS-G14-GA401IV-159T LED",https://www.boulanger.com/ref/1144262,2949,Ryzen 9,9,AMD,8,Boulanger (FR)
41,"PC Gamer 
						
							MSI
						
						GE66 Raider 10UE-281FR",https://www.boulanger.com/ref/1157094,3067,i7,7,Intel,0,Boulanger (FR)
42,"PC Gamer 
						
							MSI
						
						GE66 Raider 10UG-280FR",https://www.boulanger.com/ref/1157093,3185,i7,7,Intel,6,Boulanger (FR)
